"DATES","NF.INV","NF.JUNK","NF.UNRATED","FIN.INV","FIN.JUNK","FIN.UNRATED","ISS.DOM.MFG","ISS.DOM.COMM","ISS.DOM.ELECT","ISS.DOM.TRANS","ISS.DOM.TELE","ISS.DOM.FIN","NF.YANKEE","FIN.YANKEE","SVENPY1000"
"1/31/1990","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0000,8.3074
"2/28/1990","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0000,8.5713
"3/31/1990","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0000,8.6885
"4/30/1990","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0000,8.8653
"5/31/1990","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0000,8.8451
"6/30/1990","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0000,8.5839
"7/31/1990","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0000,8.5707
"8/31/1990","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0000,8.8254
"9/30/1990","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0000,8.9923
"10/31/1990","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0000,8.7943
"11/30/1990","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",200.0000,8.4585
"12/31/1990","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0000,8.1752
"1/31/1991","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0000,8.2237
"2/28/1991","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0000,7.9962
"3/31/1991","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0000,8.2467
"4/30/1991","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0000,8.1867
"5/31/1991","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0000,8.2424
"6/30/1991","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0000,8.4366
"7/31/1991","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0000,8.3916
"8/31/1991","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0000,8.0636
"9/30/1991","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0000,7.8243
"10/31/1991","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0000,7.6716
"11/30/1991","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0000,7.6196
"12/31/1991","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0000,7.3300
"1/31/1992","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0000,7.3239
"2/29/1992","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0000,7.5643
"3/31/1992","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0000,7.6923
"4/30/1992","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0000,7.6489
"5/31/1992","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0000,7.5594
