"DATES","PRIV.NVC.EWMA","PRIV.NVC.PEA","PRIV.PLACE.FIN.LP.SDC","PRIV.PLACE.FIN.SDC","PRIV.PLACE.NF.SDC","PRIV.TOTAL","PRIV.VC.PWC","MERG.ANN.DOM.CASH","MERG.COMP.DOM.CASH","MERG.COMP.DOM.LIAB","MERG.COMP.DOM.STOCK","MERG.COMP.FOR.CASH","MERG.COMP.FOR.LIAB","MERG.COMP.FOR","MERG.COMP.FOR.STOCK"
"3/31/1990","NA",1.1925,"NA","NA","NA","NA","NA",29.9370,"NA","NA","NA","NA","NA","NA","NA"
"6/30/1990","NA",1.1925,"NA","NA","NA","NA","NA",29.1600,"NA","NA","NA","NA","NA","NA","NA"
"9/30/1990","NA",1.1925,"NA","NA","NA","NA","NA",24.0000,"NA","NA","NA","NA","NA","NA","NA"
"12/31/1990","NA",1.1925,"NA","NA","NA","NA","NA",23.0610,"NA","NA","NA","NA","NA","NA","NA"
"3/31/1991","NA",1.4100,"NA","NA","NA","NA","NA",26.1690,"NA","NA","NA","NA","NA","NA","NA"
"6/30/1991","NA",1.4100,"NA","NA","NA","NA","NA",17.4650,"NA","NA","NA","NA","NA","NA","NA"
"9/30/1991","NA",1.4100,"NA","NA","NA","NA","NA",22.5280,"NA","NA","NA","NA","NA","NA","NA"
"12/31/1991","NA",1.4100,"NA","NA","NA","NA","NA",21.9830,"NA","NA","NA","NA","NA","NA","NA"
"3/31/1992","NA",1.8728,"NA","NA","NA","NA","NA",21.1870,"NA","NA","NA","NA","NA","NA","NA"
"6/30/1992","NA",1.8728,"NA","NA","NA","NA","NA",17.4660,"NA","NA","NA","NA","NA","NA","NA"
"9/30/1992","NA",1.8728,"NA","NA","NA","NA","NA",21.4380,"NA","NA","NA","NA","NA","NA","NA"
"12/31/1992","NA",1.8728,"NA","NA","NA","NA","NA",18.6660,"NA","NA","NA","NA","NA","NA","NA"
"3/31/1993","NA",2.1955,"NA","NA","NA","NA","NA",21.8910,"NA","NA","NA","NA","NA","NA","NA"
"6/30/1993","NA",2.1955,"NA","NA","NA","NA","NA",23.5340,"NA","NA","NA","NA","NA","NA","NA"
"9/30/1993","NA",2.1955,"NA","NA","NA","NA","NA",32.5340,"NA","NA","NA","NA","NA","NA","NA"
"12/31/1993","NA",2.1955,"NA","NA","NA","NA","NA",32.6150,"NA","NA","NA","NA","NA","NA","NA"
"3/31/1994","NA",3.8733,"NA","NA","NA","NA","NA",38.3310,"NA","NA","NA","NA","NA","NA","NA"
"6/30/1994","NA",3.8733,"NA","NA","NA","NA","NA",43.4740,"NA","NA","NA","NA","NA","NA","NA"
"9/30/1994","NA",3.8733,"NA","NA","NA","NA","NA",54.0060,"NA","NA","NA","NA","NA","NA","NA"
"12/31/1994","NA",3.8733,"NA","NA","NA","NA","NA",38.5770,"NA","NA","NA","NA","NA","NA","NA"
"3/31/1995","NA",5.3668,"NA","NA","NA","NA",1.7531,43.8330,"NA","NA","NA","NA","NA","NA","NA"
"6/30/1995","NA",5.3668,"NA","NA","NA","NA",2.0911,46.3690,"NA","NA","NA","NA","NA","NA","NA"
"9/30/1995","NA",5.3668,"NA","NA","NA","NA",1.7550,53.4890,"NA","NA","NA","NA","NA","NA","NA"
"12/31/1995","NA",5.3668,"NA","NA","NA","NA",2.0837,53.9070,"NA","NA","NA","NA","NA","NA","NA"
"3/31/1996","NA",6.4145,286.3000,146.0000,192.6500,6.1682,2.3646,55.4050,"NA","NA","NA","NA","NA","NA","NA"
"6/30/1996","NA",6.4145,2111.5700,705.8900,1613.8200,8.6374,3.1288,59.9780,"NA","NA","NA","NA","NA","NA","NA"
"9/30/1996","NA",6.4145,999.7700,189.7800,1028.4000,8.0549,2.8479,49.1780,"NA","NA","NA","NA","NA","NA","NA"
"12/31/1996","NA",6.4145,6754.2800,13666.8100,1126.1700,8.8456,3.2569,55.7660,"NA","NA","NA","NA","NA","NA","NA"
"3/31/1997","NA",9.8608,1225.0000,8691.0400,486.6000,8.5315,3.1034,60.5980,"NA","NA","NA","NA","NA","NA","NA"
"6/30/1997","NA",9.8608,3536.5000,5122.0040,1904.0480,11.1211,3.7964,65.9000,"NA","NA","NA","NA","NA","NA","NA"
"9/30/1997","NA",9.8608,1133.8000,528.3000,1084.2000,10.7395,3.7556,68.1000,"NA","NA","NA","NA","NA","NA","NA"
"12/31/1997","NA",9.8608,7507.7000,369.0000,1201.3000,12.4735,4.8934,90.7390,"NA","NA","NA","NA","NA","NA","NA"
"3/31/1998","NA",15.0070,6134.8000,1462.6000,739.7000,11.9942,4.1798,134.0000,33.3000,"NA","NA","NA","NA","NA","NA"
"6/30/1998","NA",15.0070,6594.0000,347.5000,959.2000,14.6049,5.8752,100.0000,38.4000,"NA","NA","NA","NA","NA","NA"
"9/30/1998","NA",15.0070,7621.6000,898.9000,443.8000,14.3095,5.3993,100.0000,38.0000,"NA","NA","NA","NA","NA","NA"
"12/31/1998","NA",15.0070,3103.8000,112.0000,1755.7000,16.9891,6.0712,90.0000,24.5000,"NA","NA","NA","NA","NA","NA"
"3/31/1999","NA",11.0725,2763.9000,170.7000,436.6000,16.6231,6.6677,120.0000,19.8530,9.0160,114.0250,7.2380,0.9890,8.6260,0.3990
"6/30/1999","NA",11.0725,5348.3000,307.5000,1516.9000,22.6686,11.2762,120.0000,25.0990,16.7880,84.0390,31.9320,1.0640,100.6200,67.6240
"9/30/1999","NA",11.0725,6879.7000,125.0000,386.8000,23.9561,13.3372,100.0000,37.8190,12.6560,57.2720,15.5040,5.1790,29.9960,9.3130
"12/31/1999","NA",11.0725,9790.9000,4215.8000,676.6000,35.1202,23.8549,100.0000,29.7990,13.6250,239.7990,19.4880,9.0810,39.7100,11.1410
"3/31/2000","NA",19.9885,4778.9000,140.0000,961.0000,40.3251,27.9270,42.4400,26.6570,15.6370,105.4300,13.6990,2.8770,26.5740,9.9980
"6/30/2000","NA",19.9885,14352.3000,741.4000,329.4000,40.5138,27.8990,69.8800,62.7770,25.2710,387.8340,11.8150,0.9280,53.6300,40.8870
"9/30/2000","NA",19.9885,6510.0000,1274.5000,907.8000,40.3356,26.2940,29.9500,24.0290,14.9770,95.9230,28.0090,4.4040,41.9780,9.5650
"12/31/2000","NA",19.9885,21071.2000,8.5000,1103.5000,37.1977,22.1120,33.4900,64.3940,15.8790,72.5760,34.8940,8.8190,70.2000,26.4870
"3/31/2001","NA",15.3440,1365.7000,15.5000,766.6000,27.8785,12.7870,18.7400,23.4250,15.6880,271.1920,9.0870,0.1500,10.5490,1.3120
"6/30/2001","NA",15.3440,6293.4000,2462.5000,1891.8000,27.8834,11.3240,28.7400,15.8030,7.7330,43.5730,14.3960,5.5620,41.4440,21.4860
"9/30/2001","NA",15.3440,2422.0000,405.1000,1244.8000,24.6001,8.3450,24.8200,21.6400,12.6200,38.2300,10.7300,1.8500,16.6400,4.0600
"12/31/2001","NA",15.3440,22032.0000,2863.0000,2245.0000,25.6830,8.0850,13.0400,12.5400,22.0600,63.5200,12.9200,0.4100,15.9100,2.5800
"3/31/2002","NA",9.9803,4901.0000,444.8000,1682.2000,23.4340,6.7130,12.1700,19.4200,8.2300,23.6500,4.3800,5.1700,10.1400,0.5900
"6/30/2002","NA",9.9803,2651.0000,219.2000,1241.3000,21.9850,6.0190,15.9303,11.6000,2.9900,37.2900,1.7000,0.0600,2.1800,0.4200
"9/30/2002","NA",9.9803,2010.2000,206.6000,1003.8000,19.9453,4.5310,12.8951,15.8900,2.3300,35.1400,3.6300,0.0500,7.4300,3.7500
"12/31/2002","NA",9.9803,6061.9000,327.4000,683.7000,19.2770,4.4970,17.0860,7.6200,0.9800,11.4200,6.0000,1.2200,7.7800,0.5600
"3/31/2003","NA",7.1118,"NA",166.4000,292.9000,18.4557,4.3140,11.6088,14.8400,1.8500,2.5900,6.4500,3.0000,11.4700,2.0200
"6/30/2003","NA",7.1118,0.8000,154.1000,708.7000,19.2769,4.9670,19.5187,11.9800,1.9600,66.1700,4.7100,1.0900,7.8100,2.0100
"9/30/2003","NA",7.1118,"NA",34.2000,1748.0000,19.9047,4.8030,18.0424,14.2700,0.6400,12.3200,0.5700,0.0000,0.8400,0.2700
"12/31/2003","NA",7.1118,1175.5000,545.2000,986.9000,19.6430,5.5500,21.4314,13.2700,0.5200,15.6000,0.5900,0.0000,3.8200,3.2300
"3/31/2004","NA",15.3250,352.4000,521.1000,1755.1000,19.7598,5.1900,63.6250,14.2200,0.7300,9.3700,7.4300,0.0300,10.0900,2.6300
"6/30/2004","NA",15.3250,892.3000,143.1000,1109.4000,19.8446,6.2120,33.6066,20.3000,2.8300,10.9500,4.7800,0.3900,5.7600,0.5900
"9/30/2004","NA",15.3250,"NA",104.4000,484.6000,17.5593,4.8430,45.8534,27.4000,1.4300,7.1000,2.8330,0.0000,5.2630,2.4300
"12/31/2004","NA",15.3250,"NA",169.3000,1255.2000,18.9795,5.7840,40.5080,24.8500,2.8100,8.6400,4.6700,0.1000,7.4600,2.6900
"3/31/2005",13.3702,7.5059,"NA","NA",679.2000,19.0754,5.0260,55.5700,26.5500,2.1200,23.9900,6.3000,0.2900,11.0800,4.4900
"6/30/2005",19.4052,37.5101,"NA","NA",341.0000,26.0462,6.3000,79.1220,37.6410,4.6980,16.2840,8.0790,0.2230,8.6650,0.3630
"9/30/2005",20.3138,23.0398,"NA","NA",1056.7000,26.9765,5.6060,36.5850,73.5040,13.1700,90.2430,10.6450,0.2210,11.0790,0.2130
"12/31/2005",25.6464,41.6442,"NA","NA",676.1000,32.0305,5.7080,107.7600,42.5660,3.2410,76.1000,11.0920,0.0680,12.0500,0.8900
"3/31/2006",24.0437,19.2355,"NA","NA",913.5000,31.2902,6.3330,51.0600,76.1600,1.6700,40.0200,15.7900,0.7700,27.5700,11.0100
"6/30/2006",30.6739,50.5645,"NA","NA",926.2000,38.5301,6.9300,105.2400,61.5700,7.9380,43.3300,22.4480,0.0960,22.7940,0.2500
"9/30/2006",35.4585,49.8123,"NA","NA",292.2000,42.3597,6.6090,87.9600,59.5500,0.8500,10.6500,14.4200,0.1000,15.3000,0.7800
"12/31/2006",38.9908,49.5877,"NA","NA",1563.2000,46.7720,6.2180,171.5000,97.8700,13.7700,88.4600,11.3200,0.7500,39.1400,27.0700
"3/31/2007",38.0283,35.1406,"NA","NA",1955.4000,47.4797,7.4960,122.3900,78.6700,8.3900,46.6900,19.0300,0.0400,21.1600,2.0900
"6/30/2007",47.2046,74.7336,"NA","NA",758.8000,55.2564,7.2930,184.7470,79.1530,11.4100,13.2400,39.7239,4.5620,50.2659,5.9800
"9/30/2007",48.1042,50.8030,"NA","NA",2282.8000,58.1710,7.7840,107.2400,104.9400,5.1900,9.2300,34.3600,1.5900,37.3100,1.3600
"12/31/2007",59.4868,93.6345,"NA","NA",2740.3000,70.3161,8.0890,49.0700,197.7900,5.2100,26.9500,27.4400,0.4300,34.6700,6.8000
"3/31/2008",55.7488,44.5348,"NA","NA",538.0000,64.1524,7.8657,52.9600,42.8300,11.0100,19.1000,29.5300,0.8300,32.3200,1.9600
"6/30/2008",58.0687,65.0286,"NA","NA",494.5000,66.1362,7.5730,72.1400,37.3100,0.6900,18.6100,17.8000,0.5200,18.8800,0.5600
"9/30/2008",63.2659,78.8573,"NA","NA",319.2000,70.7751,7.1900,77.9000,55.0900,11.6000,16.2800,26.0000,1.1700,28.4900,1.3200
"12/31/2008",55.6351,32.7429,"NA","NA",867.5000,62.2056,5.7030,24.5100,50.9700,0.7800,16.3700,67.7100,2.8000,74.3400,3.8300
"3/31/2009",44.5795,11.4127,"NA","NA",417.6000,48.3911,3.3940,73.0700,15.6500,1.3900,1.0400,53.1300,3.2000,56.8000,0.4700
"6/30/2009",38.0838,18.5965,"NA","NA",384.5000,42.6103,4.1420,26.2600,20.8600,0.0400,4.0500,1.2000,0.1300,2.0600,0.7300
"9/30/2009",32.8819,17.2765,"NA","NA",251.0000,38.2329,5.1000,20.3300,10.9400,7.7600,12.4200,5.1800,0.4000,6.1900,0.6100
"12/31/2009",27.0863,9.6994,"NA","NA",274.9000,32.5372,5.1760,44.8500,84.9100,9.4700,84.9300,9.0400,0.0900,9.3500,0.2200
"3/31/2010",23.0536,10.9555,"NA","NA",196.9000,27.9775,4.7270,27.8900,40.9600,12.7700,26.6500,7.7300,0.1000,8.6400,0.8100
"6/30/2010",21.8996,18.4375,"NA","NA",93.2000,29.1448,7.1520,47.4500,23.6000,11.1000,43.2500,1.6500,0.0100,7.0600,5.4000
"9/30/2010",20.7699,17.3810,"NA","NA",473.8000,26.5227,5.2790,45.0700,31.6300,1.4000,14.9500,21.0800,0.0000,26.4800,5.4000
"12/31/2010",18.7697,12.7688,"NA","NA",1213.6000,25.6253,5.6420,70.8800,49.1600,4.2500,33.3800,9.8500,0.1600,15.4100,5.4000
"3/31/2011",17.9021,15.2994,"NA","NA",2063.3000,26.6674,6.7020,103.5700,44.6100,6.3000,9.5100,6.0800,1.7300,8.0900,0.2800
"6/30/2011",21.6501,32.8940,"NA","NA",705.3000,30.3614,8.0060,83.2300,49.3200,13.9200,37.5300,36.2400,0.0100,44.0600,7.8100
"9/30/2011",20.6851,17.7902,"NA","NA",57.1000,28.4342,7.6920,83.0000,58.9800,3.6300,9.5500,18.7500,0.0600,19.3600,0.5500
"12/31/2011",21.8870,25.4928,"NA","NA",63.0000,29.0440,7.0940,119.9400,49.0200,5.4900,8.6900,18.6600,0.0000,19.6700,1.0100
