"DATES","BBB10YR","SVENPY1000"
"1/1/1990","NA","NA"
"1/2/1990","NA",8.0725
"1/3/1990","NA",8.1218
"1/4/1990","NA",8.1082
"1/5/1990","NA",8.1210
"1/8/1990","NA",8.1438
"1/9/1990","NA",8.1441
"1/10/1990","NA",8.1484
"1/11/1990","NA",8.1441
"1/12/1990","NA",8.2042
"1/15/1990","NA","NA"
"1/16/1990","NA",8.3018
"1/17/1990","NA",8.2905
"1/18/1990","NA",8.4093
"1/19/1990","NA",8.3441
"1/22/1990","NA",8.3567
"1/23/1990","NA",8.3383
"1/24/1990","NA",8.4533
"1/25/1990","NA",8.4987
"1/26/1990","NA",8.5789
"1/29/1990","NA",8.5713
"1/30/1990","NA",8.5935
"1/31/1990","NA",8.5116
"2/1/1990","NA",8.4860
"2/2/1990","NA",8.5520
"2/5/1990","NA",8.5793
"2/6/1990","NA",8.6256
"2/7/1990","NA",8.6262
"2/8/1990","NA",8.5826
"2/9/1990","NA",8.4338
"2/12/1990","NA",8.5121
"2/13/1990","NA",8.4680
"2/14/1990","NA",8.4747
"2/15/1990","NA",8.5313
"2/16/1990","NA",8.5332
"2/19/1990","NA","NA"
"2/20/1990","NA",8.7282
"2/21/1990","NA",8.7295
"2/22/1990","NA",8.6459
"2/23/1990","NA",8.6396
"2/26/1990","NA",8.5696
"2/27/1990","NA",8.5164
"2/28/1990","NA",8.6214
"3/1/1990","NA",8.6925
"3/2/1990","NA",8.6464
"3/5/1990","NA",8.7535
"3/6/1990","NA",8.7039
"3/7/1990","NA",8.6869
"3/8/1990","NA",8.6707
"3/9/1990","NA",8.7467
"3/12/1990","NA",8.7524
"3/13/1990","NA",8.8307
"3/14/1990","NA",8.7516
"3/15/1990","NA",8.7579
"3/16/1990","NA",8.6893
"3/19/1990","NA",8.6995
"3/20/1990","NA",8.6341
"3/21/1990","NA",8.6320
"3/22/1990","NA",8.6300
"3/23/1990","NA",8.6176
"3/26/1990","NA",8.6037
"3/27/1990","NA",8.6085
"3/28/1990","NA",8.6170
"3/29/1990","NA",8.6765
"3/30/1990","NA",8.7451
"4/2/1990","NA",8.7480
"4/3/1990","NA",8.7368
"4/4/1990","NA",8.6496
"4/5/1990","NA",8.6584
"4/6/1990","NA",8.6394
"4/9/1990","NA",8.6785
"4/10/1990","NA",8.6825
"4/11/1990","NA",8.7038
"4/12/1990","NA",8.7092
"4/13/1990","NA","NA"
"4/16/1990","NA",8.7536
"4/17/1990","NA",8.8460
"4/18/1990","NA",8.9464
"4/19/1990","NA",8.9600
"4/20/1990","NA",9.0095
"4/23/1990","NA",9.0429
"4/24/1990","NA",9.0697
"4/25/1990","NA",9.0823
"4/26/1990","NA",9.1348
"4/27/1990","NA",9.1413
"4/30/1990","NA",9.1124
"5/1/1990","NA",9.1404
"5/2/1990","NA",9.1549
"5/3/1990","NA",9.1034
"5/4/1990","NA",8.9188
"5/7/1990","NA",8.9510
"5/8/1990","NA",8.9212
"5/9/1990","NA",9.0089
"5/10/1990","NA",8.9429
"5/11/1990","NA",8.7611
"5/14/1990","NA",8.7152
"5/15/1990","NA",8.7579
"5/16/1990","NA",8.7556
"5/17/1990","NA",8.7695
"5/18/1990","NA",8.8254
"5/21/1990","NA",8.8285
"5/22/1990","NA",8.7406
"5/23/1990","NA",8.7026
"5/24/1990","NA",8.7082
"5/25/1990","NA",8.7550
"5/28/1990","NA","NA"
"5/29/1990","NA",8.7352
"5/30/1990","NA",8.7071
"5/31/1990","NA",8.6888
"6/1/1990","NA",8.5186
"6/4/1990","NA",8.5371
"6/5/1990","NA",8.5741
"6/6/1990","NA",8.5703
"6/7/1990","NA",8.5564
"6/8/1990","NA",8.5669
"6/11/1990","NA",8.5785
"6/12/1990","NA",8.5787
"6/13/1990","NA",8.5062
"6/14/1990","NA",8.4816
"6/15/1990","NA",8.5543
"6/18/1990","NA",8.5967
"6/19/1990","NA",8.6118
"6/20/1990","NA",8.6613
