"DATES","PUIMFOCDWI_N.B","PUIMFOCFC_N.B"
"1/1/1985","NA","NA"
"1/2/1985",25.8000,27.1400
"1/3/1985",26.0000,27.1100
"1/4/1985",25.2000,26.9600
"1/7/1985",25.5500,27.0400
"1/8/1985",25.5000,27.1300
"1/9/1985",25.4500,27.0600
"1/10/1985",25.7500,27.0900
"1/11/1985",25.7500,27.2400
"1/14/1985",26.1000,27.3600
"1/15/1985",25.9000,27.3400
"1/16/1985",25.9000,27.2400
"1/17/1985",25.7000,27.2400
"1/18/1985",25.7000,27.2500
"1/21/1985",25.9000,27.3300
"1/22/1985",25.5000,27.2000
"1/23/1985",25.3000,27.1800
"1/24/1985",25.2500,27.1900
"1/25/1985",25.5500,27.2300
"1/28/1985",25.2000,26.9100
"1/29/1985",25.4000,26.9800
"1/30/1985",25.6500,27.1100
"1/31/1985",26.3500,27.2600
"2/1/1985",26.7500,27.3100
"2/4/1985",26.5000,27.2900
"2/5/1985",26.7500,27.2500
"2/6/1985",27.1000,27.2500
"2/7/1985",27.2500,27.3100
"2/8/1985",27.6000,27.5600
"2/11/1985",28.0500,27.5900
"2/12/1985",27.4000,27.4700
"2/13/1985",27.8000,27.5600
"2/14/1985",27.8500,27.6000
"2/15/1985",27.8000,"NA"
"2/18/1985",27.8000,"NA"
"2/19/1985",27.7500,27.7100
"2/20/1985",27.7000,27.7200
"2/21/1985",27.6000,27.7200
"2/22/1985",28.0000,27.6100
"2/25/1985",26.4000,27.7100
"2/26/1985",26.7500,27.6600
"2/27/1985",26.6500,27.6300
"2/28/1985",27.2000,27.5700
"3/1/1985",27.2000,27.6400
"3/4/1985",27.7500,27.4700
"3/5/1985",27.5500,27.4900
"3/6/1985",27.7500,27.5200
"3/7/1985",28.0000,27.5800
"3/8/1985",27.7500,27.6500
"3/11/1985",27.9000,27.5700
"3/12/1985",27.9000,27.6200
"3/13/1985",28.1000,27.6400
"3/14/1985",29.3000,27.6300
"3/15/1985",30.0000,27.6800
"3/18/1985",28.8500,27.7200
"3/19/1985",28.8000,27.7200
"3/20/1985",29.0000,27.7400
"3/21/1985",29.3000,27.7400
"3/22/1985",29.7000,27.7400
"3/25/1985",28.1000,27.6300
"3/26/1985",28.4500,27.6900
"3/27/1985",28.2000,27.7000
"3/28/1985",28.3000,27.7100
"3/29/1985",28.7000,27.7200
"4/1/1985",28.7000,27.6600
"4/2/1985",28.8000,27.6800
"4/3/1985",28.8000,27.6800
"4/4/1985",28.9000,27.6800
"4/5/1985","NA","NA"
"4/8/1985",29.0500,27.6900
"4/9/1985",29.0500,27.6400
"4/10/1985",29.2500,27.5900
"4/11/1985",28.9000,27.5500
"4/12/1985",28.6500,27.5300
"4/15/1985",29.1500,27.6700
"4/16/1985",29.0500,27.6400
"4/17/1985",29.2500,27.5900
"4/18/1985",29.0000,27.5900
"4/19/1985",29.0500,27.5800
"4/22/1985",29.6000,27.4300
"4/23/1985",29.5000,27.3900
"4/24/1985",29.2500,27.2800
"4/25/1985",27.8500,27.2400
"4/26/1985",27.9000,27.1600
"4/29/1985",27.6500,27.1000
"4/30/1985",27.6000,27.0600
"5/1/1985","NA",26.9900
"5/2/1985",27.3500,26.9000
"5/3/1985",27.3000,26.8700
"5/6/1985",27.6000,26.8600
"5/7/1985",27.3000,26.7200
"5/8/1985",27.3000,26.4700
"5/9/1985",27.6000,26.5200
"5/10/1985",27.4000,26.3700
"5/13/1985",27.3000,26.4200
"5/14/1985",27.7500,26.4000
"5/15/1985",27.9000,26.3800
"5/16/1985",27.8000,26.3900
"5/17/1985",27.9000,26.2800
"5/20/1985",28.0000,26.1500
"5/21/1985",27.7500,26.1300
"5/22/1985",27.8000,26.1400
"5/23/1985",27.7500,26.2600
"5/24/1985",27.5000,26.3500
"5/27/1985",27.5500,"NA"
"5/28/1985",27.6500,26.2300
"5/29/1985",27.9000,26.3400
"5/30/1985",27.8500,26.4700
"5/31/1985",27.8500,26.4000
"6/3/1985",27.5000,26.2300
"6/4/1985",27.4500,26.0400
"6/5/1985",27.0000,26.0100
"6/6/1985",27.1000,26.0300
"6/7/1985",26.9000,26.0000
"6/10/1985",26.8000,25.7200
"6/11/1985",26.9500,25.7700
"6/12/1985",27.0000,25.8400
"6/13/1985",27.4000,25.9100
"6/14/1985",27.3000,25.9100
"6/17/1985",27.2500,25.7800
"6/18/1985",27.2000,25.7900
"6/19/1985",27.3000,25.8300
"6/20/1985",27.2000,25.8600
"6/21/1985",27.4000,25.9500
"6/24/1985",27.5000,26.0400
"6/25/1985",26.7500,26.0800
"6/26/1985",26.9000,26.1100
"6/27/1985",27.1000,26.1600
"6/28/1985",26.8500,26.1400
"7/1/1985",26.7000,25.9900
"7/2/1985",26.9000,26.0300
"7/3/1985",26.9000,26.0900
"7/4/1985",26.9000,26.0900
"7/5/1985",27.0000,26.1000
"7/8/1985",27.4500,26.1800
"7/9/1985",27.5000,26.3000
"7/10/1985",27.3500,26.1400
"7/11/1985","NA",26.1100
"7/12/1985",27.1000,26.0400
"7/15/1985",27.2500,26.0800
"7/16/1985",27.3500,26.0800
"7/17/1985",27.5000,26.1400
"7/18/1985",27.5000,26.1300
"7/19/1985",27.4000,26.1800
"7/22/1985",27.7000,26.2200
"7/23/1985",27.8500,26.2500
"7/24/1985",28.0000,26.2800
"7/25/1985",27.3000,26.3400
"7/26/1985",27.3000,26.4100
"7/29/1985",27.3500,26.4400
"7/30/1985",27.3500,26.4900
"7/31/1985",27.1500,26.4900
"8/1/1985",27.2000,26.5100
"8/2/1985",27.2500,26.5400
"8/5/1985",27.3000,26.6600
"8/6/1985",27.2500,26.6600
"8/7/1985",27.2500,26.6500
"8/8/1985",27.3000,26.4900
"8/9/1985",27.4000,26.5100
"8/12/1985",27.5500,26.3500
"8/13/1985",27.6000,26.4200
"8/14/1985",27.7000,26.4800
"8/15/1985",28.0000,26.5800
"8/16/1985",28.0000,26.6900
"8/19/1985",28.0000,26.6900
"8/20/1985",28.1000,26.7000
"8/21/1985",28.2000,26.7700
"8/22/1985",28.2000,26.8200
"8/23/1985",28.0000,26.7800
"8/26/1985",28.1000,26.9100
