"DATES","GDP_90_N.Q.BZ","GDP_N.Q.BZ","H0.GDP_93_N.Q.MX","GDP_N.Q.MX","GDP_86.Q.CL","GDP_N.Q.CL","GDP_86.Q.AR","V0.GDP_N.Q.AR","GDP_00.Q.SI","GDP_N.Q.SI","GDP.Q.JA","GDP_90_XQR.Q.JA","H1.GDP_82_N.Q.CH","H1.GDP_N.Q.CH","GDP_04_N.Q.IN","GDP_05.Q.UK","GDP.Q.UK","H1GDP_00_XQR.Q.EU","GDP_XQR.Q.EU"
"3/31/1985","NA","NA",1094666.5200,46.8587,"NA","NA",9595.7890,"NA",13309.8000,10374.3000,321739.2000,84192.7734,"NA","NA","NA",723.1440,347.7160,"NA","NA"
"6/30/1985","NA","NA",1107154.7700,51.1234,"NA","NA",9253.7130,"NA",12984.0000,10120.9000,328329.8000,85339.6484,"NA","NA","NA",734.5160,361.3040,"NA","NA"
"9/30/1985","NA","NA",1078230.0300,55.5986,"NA","NA",9007.2250,"NA",12815.4000,10167.9000,332796.7000,85894.0781,"NA","NA","NA",734.5400,365.2320,"NA","NA"
"12/31/1985","NA","NA",1121774.2300,63.7254,"NA","NA",9438.9020,"NA",12644.3000,9959.0000,338760.8000,87243.1719,"NA","NA","NA",739.5720,372.7800,"NA","NA"
"3/31/1986","NA","NA",1055757.9700,70.9899,814140.0000,"NA",9669.0710,"NA",12878.5000,9724.8000,341974.5000,86646.7969,"NA","NA","NA",750.6480,379.2840,"NA","NA"
"6/30/1986","NA","NA",1102542.3900,82.5748,848158.0000,"NA",9914.5110,"NA",13087.6000,9939.5000,344649.3000,87996.2734,"NA","NA","NA",759.2080,385.3000,"NA","NA"
"9/30/1986","NA","NA",1020951.6900,91.1173,867487.0000,"NA",10294.8200,"NA",13299.0000,10278.6000,347378.3000,88590.3750,"NA","NA","NA",763.3920,390.8040,"NA","NA"
"12/31/1986","NA","NA",1062243.7800,111.9970,892701.0000,"NA",10079.2600,"NA",13631.1000,10844.6000,349701.0000,89507.9531,"NA","NA","NA",776.1640,401.2080,"NA","NA"
"3/31/1987","NA","NA",1044096.7800,153.8340,891896.0000,"NA",10019.1100,"NA",13920.7000,10391.2000,348640.5000,90108.0469,"NA","NA","NA",780.4080,410.6760,"NA","NA"
"6/30/1987","NA","NA",1105399.5100,193.6410,897847.0000,"NA",10349.1800,"NA",14292.7000,10949.8000,354761.5000,90729.8516,"NA","NA","NA",788.6400,421.9560,"NA","NA"
"9/30/1987","NA","NA",1049980.1900,229.3820,920169.0000,"NA",10545.5700,"NA",14770.0000,11685.3000,362764.2000,92212.8516,"NA","NA","NA",805.9680,438.5040,"NA","NA"
"12/31/1987","NA","NA",1121955.0400,304.2084,938431.0000,"NA",10079.0500,"NA",15252.1000,12361.6000,371662.5000,94150.5234,"NA","NA","NA",813.5120,447.3160,"NA","NA"
"3/31/1988","NA","NA",1073778.7600,405.3299,954456.0000,"NA",10470.7300,"NA",15494.3000,12062.1000,381356.7000,95806.7734,"NA","NA","NA",827.0400,461.5920,"NA","NA"
"6/30/1988","NA","NA",1115437.0100,448.7092,943058.0000,"NA",10185.7100,"NA",16104.8000,12813.4000,380358.3000,96571.3750,"NA","NA","NA",830.9440,471.4240,"NA","NA"
"9/30/1988","NA","NA",1048864.9100,444.9096,995967.0000,"NA",9811.0320,"NA",16519.1000,13788.2000,389975.9000,98476.8750,"NA","NA","NA",842.4880,486.5560,"NA","NA"
"12/31/1988","NA","NA",1136962.9600,489.7866,1023017.0000,"NA",9748.9290,"NA",16872.4000,14622.1000,395561.3000,99351.1250,"NA","NA","NA",848.5040,502.0520,"NA","NA"
"3/31/1989","NA","NA",1096099.5500,545.1122,1050058.0000,"NA",10037.8000,"NA",17068.3000,13924.5000,408756.8000,100935.1484,"NA","NA","NA",851.6560,512.4320,"NA","NA"
"6/30/1989","NA","NA",1161703.1700,590.6472,1081569.0000,"NA",9229.3160,"NA",18041.9000,14908.9000,407251.2000,100686.0469,"NA","NA","NA",857.0080,520.9240,"NA","NA"
