"DATES","RIFLGFCM03_N.M","RIFLGFCY10_N.M"
"1/31/1990",7.9000,8.2100
"2/28/1990",8.0000,8.4700
"3/31/1990",8.1700,8.5900
"4/30/1990",8.0400,8.7900
"5/31/1990",8.0100,8.7600
"6/30/1990",7.9900,8.4800
"7/31/1990",7.8700,8.4700
"8/31/1990",7.6900,8.7500
"9/30/1990",7.6000,8.8900
"10/31/1990",7.4000,8.7200
"11/30/1990",7.2900,8.3900
"12/31/1990",6.9500,8.0800
"1/31/1991",6.4100,8.0900
"2/28/1991",6.1200,7.8500
"3/31/1991",6.0900,8.1100
"4/30/1991",5.8300,8.0400
"5/31/1991",5.6300,8.0700
"6/30/1991",5.7500,8.2800
"7/31/1991",5.7500,8.2700
"8/31/1991",5.5000,7.9000
"9/30/1991",5.3700,7.6500
"10/31/1991",5.1400,7.5300
"11/30/1991",4.6900,7.4200
"12/31/1991",4.1800,7.0900
"1/31/1992",3.9100,7.0300
"2/29/1992",3.9500,7.3400
"3/31/1992",4.1400,7.5400
"4/30/1992",3.8400,7.4800
"5/31/1992",3.7200,7.3900
"6/30/1992",3.7500,7.2600
"7/31/1992",3.2800,6.8400
"8/31/1992",3.2000,6.5900
"9/30/1992",2.9700,6.4200
"10/31/1992",2.9300,6.5900
"11/30/1992",3.2100,6.8700
"12/31/1992",3.2900,6.7700
"1/31/1993",3.0700,6.6000
"2/28/1993",2.9900,6.2600
"3/31/1993",3.0100,5.9800
"4/30/1993",2.9300,5.9700
"5/31/1993",3.0300,6.0400
"6/30/1993",3.1400,5.9600
"7/31/1993",3.1100,5.8100
"8/31/1993",3.0900,5.6800
"9/30/1993",3.0100,5.3600
"10/31/1993",3.0900,5.3300
"11/30/1993",3.1800,5.7200
"12/31/1993",3.1300,5.7700
"1/31/1994",3.0400,5.7500
"2/28/1994",3.3300,5.9700
"3/31/1994",3.5900,6.4800
"4/30/1994",3.7800,6.9700
"5/31/1994",4.2700,7.1800
"6/30/1994",4.2500,7.1000
"7/31/1994",4.4600,7.3000
"8/31/1994",4.6100,7.2400
