date,assets,credit_loss_allowances,card_interchange_fees,earnings_life_insurance,atm_fees,check_printing_fees,fiduciary_activities,sale_mutual_funds,insurcance_commissions,investment_banking_fees,net_change_fair_value,ng_assets_fv,ng_credit_deriv,ng_sale_loans,ng_other_assets,ng_other_real_estate,net_sec_income,net_servicing_fees,res_mortgages_closed,res_mortgages_open,other_adj_equity,other_nii,rent_other_real_estate,safe_deposit_rent,service_charges,total_nii,total_tr,tr_comm,tr_credit,tr_equity,tr_foreign_ex,tr_int_rt_exp,vc_rev
90Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,580590,,,,,,
90Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,562913,,,,,,
90Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,316131,,,,,,
90Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,472416.69118,,,,,,
91Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,564859,,,,,,
91Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,595562,,,,,,
91Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,562981,,,,,,
91Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,498965,,,,,,
92Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,576954,,,,,,
92Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,486802,,,,,,
92Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,416763.03867,,,,,,
92Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,483243,,,,,,
93Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,506626,,,,,,
93Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,552483,,,,,,
93Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,511492.31667,,,,,,
93Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,578551.67279,,,,,,
94Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,524512.47671,,,,,,
94Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,515369,,,,,,
94Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,478620,,,,,,
94Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,521309.88971,,,,,,
95Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,622093,,,,,,
95Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,567838,,,,,,
95Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,543422,,,,,,
95Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,622823.67279,,,,,,
96Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,583390.36712,,,,,,
96Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,385499.93333,,,,,,
96Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,428867,,,,,,
96Q4,2686022957,,,,,,10215209,1814139,,,,,,,813765,,196891,,,,,-327455,,,,9539243,16436715.568,7930379,439442,,784205,2382584,4324148
97Q1,2753154955,,,,,,2751124,609692,,,,,,,289905,,46206,,,,,-60597,,,,2516908,16341288,2460291,135883,,225367,597948,1501093
97Q2,2878883307,,,,,,2851791,618749,,,,,,,201556,,34833,,,,,802606,,,,2566167,17383531,2288790,126161,,308348,836121,1018160
97Q3,2957180704,,,,,,3132505,661978,,,,,,,316985,,38383,,,,,475446,,,,2684985,19634470,2743070,156580,,236453,924572,1425465
97Q4,3038371804,,,,,,3152329.2941,716173.52941,,,,,,,365968,,77505,,,,,216232.23529,,,,2844288.3529,18726625.294,987597,-356021,,-151478,1232199,262897
98Q1,3194289443,,,,,,3534441.6082,782853.14521,,,,,,,395280,,49613.906849,,,,,-19661,,,,2725326.8712,21643391.559,2992145.3315,127197,,281805,1344845.8932,1298297.4384
98Q2,3295107094,,,,,,3748798,928317,,,,,,,595706,,122301,,,,,-173648,,,,2893669,23597633,2612986,54743,,159316,1367714,1091213
98Q3,3373498471,,,,,,3662720,906468,,,,,,,588469,,10412,,,,,379884,,,,3051169,19393979,-5595,-208500,,-187538,1266266,-785823
98Q4,3833475788,,,,,,4252828.3235,1362479.9926,,,,,,,479173,,13160,,,,,503323,,,,3284747.489,27849552.081,2242021,184171,,372838,1109983,650029
99Q1,3824791401,,,,,,4110165,1581276,,,,,,,552511,,19138,,,,,-107478,,,,3154402,32581124,5081780,252877,,627394,1619086,2582423
99Q2,3937204933,,,,,,4061675,1676274,,,,,,,422986,,16236,,,,,307239,,,,3244311,31775987,3622897,159158,,785932,1069548,1608259
99Q3,3950285874,,,,,,4318239,1680108.2778,,,,,,,225153.04444,,44372,,,,,254213,,,,3420027.3667,32373655.678,2625307,118827,,603032,1004546,898902
99Q4,4200281359,,,,,,4469838.1838,1608305,,,,,,,131519.27206,,-94433.11029,,,,,8165267,,,,3567574.3309,35541597.551,3601168,406745,,1312462,975248,906713
00Q1,4299640062,,,,,,4555716,2254653,,,,,,,640811,,16664.863014,,,,,-253134,,,,3521091.3288,40285917.644,5495115,126908,,1918772,1271266,2178169
00Q2,4373396168,,,,,,4777640,1866362,,,,,,,-9843,,20327,,,,,-70542,,,,3593322.2556,34361546.433,4508691,136814,,1891225,1338124,1142528
00Q3,4475624438,,,,,,4880505.442,1963116.4807,,,,,,,1198190,,31120.209945,,,,,156539,,,,3747934.7127,37659382.017,4287647,126950,,1076445,1093269,1990983
00Q4,4657207042,,,,,,5076602.293,1685540.7436,,,,,,,337020.33333,,15203,,,,,-1187579,,,,4408515.0623,40898894.487,3916674,361525,,1274062,1641480,639607
