date,year,quarter,assets,total_nii,normalized_nii,credit_loss_allowances,card_interchange_fees,earnings_life_insurance,atm_fees,check_printing_fees,fiduciary_activities,sale_mutual_funds,insurcance_commissions,investment_banking_fees,net_change_fair_value,ng_assets_fv,ng_credit_deriv,ng_sale_loans,ng_other_assets,ng_other_real_estate,net_sec_income,net_servicing_fees,res_mortgages_closed,res_mortgages_open,other_adj_equity,other_nii,rent_other_real_estate,safe_deposit_rent,service_charges,total_nii,total_tr,tr_comm,tr_credit,tr_equity,tr_foreign_ex,tr_int_rt_exp,vc_rev,PRIV.NVC.EWMA,PRIV.NVC.PEA,PRIV.PLACE.FIN.LP.SDC,PRIV.PLACE.FIN.SDC,PRIV.PLACE.NF.SDC,PRIV.TOTAL,PRIV.VC.PWC,MERG.ANN.DOM.CASH,MERG.COMP.DOM.CASH,MERG.COMP.DOM.LIAB,MERG.COMP.DOM.STOCK,MERG.COMP.FOR.CASH,MERG.COMP.FOR.LIAB,MERG.COMP.FOR,MERG.COMP.FOR.STOCK,US GDP,Baltic Dry Index,euro_area_gdp,jp_gdp,gb_gdp,mx_gdp,la_gdp,GSCI,MSCI EURO WORLD INDEX,Henry Hub Natural Gas,Brent Crude Oil,,NF.INV,NF.JUNK,NF.UNRATED,FIN.INV,FIN.JUNK,FIN.UNRATED,ISS.DOM.MFG,ISS.DOM.COMM,ISS.DOM.ELECT,ISS.DOM.TRANS,ISS.DOM.TELE,ISS.DOM.FIN,NF.YANKEE,FIN.YANKEE,SVENPY1000,3Mo Treasury Yield Quarterly Converted,10Yr Treasury Yield Quarterly Converted,U.S. Natural Gas quarterly converted,bbb10yr quarterly converted,VIX,SP500,us ipo
90Q1,1990,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580590,,,,,,,,1.1925,,,,,,29.937,,,,,,,,8020.8,,5.534158514,-1.889517999,4.806360748,8.98495,-7.87309,,,,,,,,,,,,,,,,,,,,8.5224,8.023333333,8.423333333,1.876666667,,27.25,336.5747619,14.66666667
90Q2,1990,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562913,,,,,,,,1.1925,,,,,,29.16,,,,,,,,8052.7,,1.839139772,13.22538049,3.341822064,8.96593,-23.24771,,,,,,,,,,,,,,,,,,,,8.764766667,8.013333333,8.676666667,1.48,,24.16,349.7965079,21
90Q3,1990,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316131,,,,,,,,1.1925,,,,,,24,,,,,,,,8052.6,,3.761731699,6.877547463,-3.986772137,5.56901,25.28736,,,,,,,,,,,,,,,,,,,,8.796133333,7.72,8.703333333,1.52,,36.47,335.881746,15.33333333
90Q4,1990,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472416.6912,,,,,,,,1.1925,,,,,,23.061,,,,,,,,7982,,2.282749962,-0.757755993,-2.114597946,5.18165,-3.75825,,,,,,,,,,,,,,,,,,,66.66666667,8.476,7.213333333,8.396666667,1.913333333,,33.98,316.5620313,6.333333333
91Q1,1991,1,,,,15811.915,,,,,,,,,,,,,,,,,,,,,,,,,564859,,,,,,,,1.41,,,,,,26.169,,,,,,,,7943.4,,2.793027242,3.531085653,-2.651523239,1.10707,-10.9321,,,1.37,,,,,,,,,,,,,,,,,8.155533333,6.206666667,8.016666667,1.69,,36.2,352.2829508,9.666666667
91Q2,1991,2,,,,12298.70167,,,,,,,,,,,,,,,,,,,,,,,,,595562,,,,,,,,1.41,,,,,,17.465,,,,,,,,7997,,1.193457358,4.83076936,-1.571824549,6.26275,20.79394,,,1.11,,,,,,,,,,,,,,,,,8.288566667,5.736666667,8.13,1.47,,20.12,378.66625,34.33333333
91Q3,1991,3,,,,11722.93333,,,,,,,,,,,,,,,,,,,,,,,,,562981,,,,,,,,1.41,,,,,,22.528,,,,,,,,8030.7,,-0.110461592,-0.882580293,-1.427958599,0.7458,11.36921,,,1.7,,,,,,,,,,,,,,,,,8.093166667,5.54,7.94,1.453333333,,21.19,385.5598438,32
91Q4,1991,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498965,,,,,,,,1.41,,,,,,21.983,,,,,,,,8062.2,,3.858613718,2.839069146,0.956806211,7.4228,-6.87866,,,1.68,,,,,,,,,,,,,,,,,7.5404,4.67,7.346666667,1.903333333,,21.92,387.1160938,46.33333333
92Q1,1992,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576954,,,,,,,,1.8728,,,,,,21.187,,,,,,,,8150.7,,6.176320153,0.124460529,1.087834324,-0.03501,0.0442,,,1.35,,,,,,,,,,,,,,,,,7.526833333,4,7.303333333,1.45,,19.79,411.9726984,51.66666667
92Q2,1992,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486802,,,,,,,,1.8728,,,,,,17.466,,,,,,,,8237.3,,-3.018518698,1.4079899,0.301667661,6.72259,-2.17222,,,1.54,,,,,,,,,,,,,,,,,7.550433333,3.77,7.376666667,1.516666667,,20.15,410.0612698,45.66666667
