year,quarter,date,entity,assets,credit_loss_allowances,res_mortgages_open,other_adj_equity,fiduciary_activities,total_nii,tr_comm,investment_banking_fees,FI01650,res_mortgages_closed,net_servicing_fees,insurcance_commissions,ng_other_assets,net_sec_income,ng_other_real_estate,rent_other_real_estate,total_tr,check_printing_fees,earnings_life_insurance,atm_fees,safe_deposit_rent,service_charges,net_change_fair_value,card_interchange_fees,vc_rev,tr_int_rt_exp,tr_foreign_ex,tr_credit,tr_equity,ng_sale_loans,ng_credit_deriv,sale_mutual_funds,ng_assets_fv,other_nii,name,rssd9002,ID_RSSD,D_DT_START,D_DT_END,NM_SHORT,DOMESTIC_IND,rank
1990,1,90Q1,1042351,233071000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1671000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1042351,1042351,1042351,2/27/1989,10/5/1990,CITICORP,Y,1
1990,1,90Q1,1040795,106517479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040795,1040795,1040795,1/1/1990,8/9/1991,CHASE MANHATTAN CORP,Y,2
1990,1,90Q1,1026016,101067000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1026016,1026016,1026016,12/1/1989,4/1/1990,BANKAMERICA CORP,Y,3
1990,1,90Q1,1037115,90771425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1037115,1037115,1037115,12/21/1981,6/7/1991,J P MORGAN & CO,Y,4
1990,1,90Q1,1024526,88497000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024526,1024526,1024526,9/29/1989,8/26/1990,SECURITY PACIFIC CORP,Y,5
1990,1,90Q1,1039502,74150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1039502,1039502,1039502,6/27/1989,6/20/1990,CHEMICAL BKG CORP,Y,6
1990,1,90Q1,1073757,63683396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073757,1073757,1073757,12/30/1988,8/26/1990,NCNB CORP,Y,7
1990,1,90Q1,1035296,59713000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1035296,1035296,1035296,6/1/1987,12/30/1991,MANUFACTURERS HAN CORP,Y,8
1990,1,90Q1,1032473,59267000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032473,1032473,1032473,10/7/1985,4/29/1997,BANKERS TR NY CORP,Y,9
1990,1,90Q1,1023538,57419112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1023538,1023538,1023538,1/1/1990,6/30/1990,FIRST INTRST BC,Y,10
1990,1,90Q1,1027095,50170260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1027095,1027095,1027095,12/31/1970,6/7/1995,WELLS FARGO & CO,Y,11
1990,1,90Q1,1201028,49992000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201028,1201028,1201028,1/31/1990,9/13/1990,FIRST CHICAGO CORP,Y,12
1990,1,90Q1,1033470,47845912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033470,1033470,1033470,10/7/1989,8/10/1993,BANK OF NY CO,Y,13
1990,1,90Q1,1069778,46710247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1069778,1069778,1069778,6/29/1989,11/15/1990,PNC FNCL CORP,Y,14
1990,1,90Q1,1068294,40645303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1068294,1068294,1068294,11/18/1989,8/17/1990,BANC ONE CORP,Y,15
1990,1,90Q1,1073551,39083892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073551,1073551,1073551,3/1/1990,6/29/1990,FIRST UNION CORP,Y,16
1990,1,90Q1,1112076,37266606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1112076,1112076,1112076,12/30/1988,7/8/1993,BANK OF BOSTON CORP,Y,17
1990,1,90Q1,1113514,36524044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1113514,1113514,1113514,10/1/1989,4/28/1991,FLEET/NORSTAR FNCL GROUP,Y,18
1990,1,90Q1,1131787,30913750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131787,1131787,1131787,5/12/1988,7/31/1990,SUNTRUST BANKS,Y,19
1990,1,90Q1,1068762,30758785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1068762,1068762,1068762,7/22/1989,6/1/1990,MELLON BC,Y,20
1990,1,90Q1,1250802,30423030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250802,1073757,1250802,11/22/1988,12/31/1991,NCNB TX CORP,Y,21
1990,1,90Q1,1416774,30418675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1416774,1073757,1416774,11/22/1988,12/31/1991,NCNB TX BC,Y,22
1990,1,90Q1,1248612,30211638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1248612,1248612,1248612,5/1/1989,4/12/1991,FIRST FIDELITY BC,Y,23
