year,quarter,date,assets,nii,US_GDP,euro_area_gdp,jp_gdp,la_gdp,pca_hhub_nat_gas,pca_brent_crude,pca_3mo_tr_yield,pca_10yr_tr_yield,pca_bbb10yr,pca_vix,pca_sp500,pca_us_ipo,pca_us_dpi,pca_us_ur,pca_us_mort,pca_us_hpi
1990,1,90Q1,,,4.244562869,5.534158514,-1.889517999,-7.87309,,,-0.001246365,0.030075188,,-0.113394495,0.039283237,0.431818182,-0.127616847,0.006289308,0.00965382,0.004158376
1990,2,90Q2,,,1.599311379,1.839139772,13.22538049,-23.24771,,-19.2167094,-0.036605657,0.003073377,,0.509519868,-0.039779591,-0.26984127,-0.892039428,0.06875,-0.017927841,-0.003486882
1990,3,90Q3,,,-0.006109596,3.761731699,6.877547463,25.28736,,63.41887575,-0.065630397,-0.035235542,,-0.068275295,-0.057519395,-0.586956522,-10.2702137,0.076023392,-0.023655587,-0.005940466
1990,4,90Q4,,,-3.458721217,2.282749962,-0.757755993,-3.75825,,24.751992,-0.139556377,-0.045256054,,0.065332549,0.112840189,0.526315789,-1.462485873,0.076086957,-0.039498286,-0.009506072
1991,1,91Q1,,,-1.923663822,2.793027242,3.531085653,-10.9321,-0.189781022,-36.20982073,-0.075725027,0.014137214,,-0.444198895,0.074892353,2.551724138,1.482260007,0.035353535,0.006407657,0.002761442
1991,2,91Q2,,,2.727213317,1.193457358,4.83076936,20.79394,0.531531532,-9.384804738,-0.034282394,-0.023370234,,0.053180915,0.018204933,-0.067961165,-0.724298677,0.004878049,-0.041102515,0.002833634
1991,3,91Q3,,,1.695609504,-0.110461592,-0.882580293,11.36921,-0.011764706,5.342169605,-0.157039711,-0.07472712,,0.034450212,0.004036338,0.447916667,2.105186004,0.033980582,-0.060766515,-0.003785201
1991,4,91Q4,,,1.577281167,3.858613718,2.839069146,-6.87866,-0.196428571,3.781849445,-0.143468951,-0.005898367,,-0.097171533,0.064209691,0.115107914,1.355986714,0.037558685,0.022639821,0.000174724
1992,1,92Q1,,,4.463405237,6.176320153,0.124460529,0.0442,0.140740741,-12.99025892,-0.0575,0.010041077,,0.018191006,-0.004639697,-0.116129032,-0.499707117,0.031674208,-0.024938747,0.001387289
1992,2,92Q2,,,4.318433322,-3.018518698,1.4079899,-2.17222,0.62987013,11.49351183,-0.164456233,-0.103027564,,-0.21191067,0.017210794,-0.328467153,-0.336973052,0.004385965,-0.068922193,-0.002398167
1992,3,92Q3,,,4.19161543,-1.115418719,0.471491131,1.81398,-0.235059761,0.401628438,-0.002116402,0.019143577,,0.291561713,0.015748288,0.358695652,1.839466929,-0.034934498,0.028006885,0.003414176
1992,4,92Q4,,,4.276401639,-0.797438454,-2.525724939,4.91556,0.145833333,-4.317627726,-0.038176034,-0.068709837,,-0.20916626,0.044992643,-0.04,-1.986000263,-0.031674208,-0.068880956,0.002100678
1993,1,93Q1,,,0.737120632,-2.697686591,4.584196437,10.66741,-0.109090909,-5.127479652,0.003307607,-0.046178344,,-0.059802713,0.006223345,0.133333333,-2.110745188,-0.009345794,-0.031207257,0.00537305
1993,2,93Q2,,,2.583817223,0.297037804,-2.508632395,6.82994,0.040816327,0.098536967,0.012087912,-0.062326099,,0.13442623,0.018076506,0.169117647,-0.865135865,-0.037735849,-0.051353438,0.007526459
1993,3,93Q3,,,2.122309546,1.668789029,-2.840677687,3.00601,0.014705882,-9.656536907,0.02062975,-0.001780415,,-0.080924855,0.023619788,0.333333333,6.013243047,-0.024509804,0.011293112,0.011100609
1993,4,93Q4,,,5.387930517,1.051553962,2.543924302,-1.13095,-0.043478261,-7.972781825,0.059574468,0.082045184,,0.286163522,0.010643802,-0.297169811,-1.26469179,-0.010050251,0.06283857,0.004300557
1994,1,94Q1,,,3.951361483,3.758299915,2.715317119,5.19541,0.045454545,-7.983638357,0.234939759,0.167582418,,0.167237164,-0.038457835,0.154362416,-5.388036497,-0.055837563,0.129051988,0.000753508
1994,2,94Q2,,,5.584642035,2.514680974,-4.233024768,6.07387,-0.314009662,15.27126723,0.123577236,0.035294118,,-0.374947633,0.022057733,-0.296511628,-0.575413793,-0.032258065,0.012639942,0.004742125
1994,3,94Q3,,,2.601452039,2.721048928,7.972680968,13.84623,0.197183099,4.260549064,0.180173661,0.068636364,,0.233914209,-0.002419212,0.041322314,0.822910189,-0.061111111,0.060627675,0.004392024
1994,4,94Q4,,,4.516925183,3.211684452,-4.15229408,13.80689,-0.070588235,-1.343281541,0.088289393,-0.045087197,,-0.22596415,0.044485031,-0.333333333,-0.516730568,-0.029585799,-0.053631473,0.001591479
1995,1,95Q1,,,0.984907877,2.190528117,2.493092198,4.89501,-0.025316456,2.012069813,-0.023661972,-0.115367483,,-0.009122807,0.091524472,0.44047619,-0.984084854,0.036585366,-0.1011725,0.005665085
1995,2,95Q2,,,0.862654046,2.321538207,5.80549089,-2.59723,0.071428571,6.972770592,-0.042700519,-0.044813696,,-0.018413598,0.076945451,0.140495868,71.60801854,0,-0.010969463,0.009344542
1995,3,95Q3,,,3.404417234,1.194092493,2.695338452,-3.81982,1.054545455,-10.26089135,-0.020494274,-0.068002109,,0.135642136,0.057322249,0.615942029,-0.209962935,-0.017647059,-0.056354916,0.006830188
1995,4,95Q4,,,2.818139352,1.44897401,0.163257468,2.91102,-0.233038348,4.348831607,-0.064,0.002828054,,0.315120712,0.065782304,-0.251121076,0.809995981,-0.005988024,0.019377382,0.00771971
1996,1,96Q1,,,2.768344868,0.020018942,3.066838712,5.06955,0.019230769,9.674202128,0.017094017,0.137055838,,-0.023188406,0.035190204,0.48502994,0.009436799,-0.006024096,0.101693155,0.007748048
1996,2,96Q2,,,7.096556627,2.940461497,4.221501179,-0.77891,-0.298113208,5.072630609,0.016806723,0.008928571,,0.065776459,0.001890313,-0.262096774,-0.209100891,-0.042424242,-0.007448614,0.004901701
