year,quarter,date,assets,nii,credit_loss_allowances,card_interchange_fees,earnings_life_insurance,atm_fees,check_printing_fees,fiduciary_activities,sale_mutual_funds,insurance_commissions,investment_banking_fees,net_chage_fair_value,ng_assets_fv,ng_credit_derivative,ng_sale_loans,ng_other_assets,ng_other_real_estate,net_sec_income,net_servicing_fees,res_mortgages_closed,res_mortgages_open,other_adj_equity,other_nii,rent_other_real_estate,safe_deposit_rent,service_charges,total_tr,tr_comm,tr_credit,tr_equity,tr_foreign_ex,int_rt_exp,vc_rev,pca_priv_ewma_iss_nonvc,pca_piv_eq_iss_nonvc,pca_priv_place_fin_lp_sdc,pca_priv_place_fin_sdc,pca_priv_place_sdc_nonfin,pca_total_iss,pca_priv_vc_pwc,pca_cash_val_ann_dom_merg,pca_cash_val_comp_dom_merg,pca_liab_val_comp_dom_merg,pca_stock_val_comp_dom_merg,pca_cash_val_for_comp_merg,pca_liab_comp_for_merg,pca_comp_for_merg,pca_stock_val_comp_for_merg,US GDP,pca_baltic_dry,euro_area_gdp,jp_gdp,gb_gdp,mx_gdp,la_gdp,pca_gsci,pca_msci,pca_hhub_nat_gas,pca_brent_crude,pca_nf_junk_iss,pca_nf_unrated_iss,pca_fin_inv_iss,pca_fin_junk_iss,pca_fin_unrated_iss,pca_iss_dom_mfg,pca_iss_dom_elec,pca_iss_dom_trans,pca_iss_dom_tele,pca_iss_dom_fin,pca_nf_for_us_corp_iss,pca_fin_for_us_corp_iss,pca_3mo_tr_yield,pca_10yr_tr_yield,pca_us_nat_gas,pca_bbb10yr,pca_vix,pca_sp500,pca_us_ipo,pca_us_dpi,pca_us_dpi_nom,pca_us_ur,pca_us_inflation,pca_us_corp,pca_us_mort,pca_us_hpi,pca_us_cre
1990,1,90Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,-0.025954504,,,,,,,,4.244562869,,5.534158514,-1.889517999,4.806360748,8.98495,-7.87309,,,,,,,,,,,,,,,,,-0.001246365,0.030075188,-0.211367673,,-0.113394495,0.039283237,0.431818182,-0.127616847,-0.240866268,0.006289308,-0.431540033,0.008132839,0.00965382,0.004158376,-0.008836497
1990,2,90Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,-0.176954733,,,,,,,,1.599311379,,1.839139772,13.22538049,3.341822064,8.96593,-23.24771,,,,-19.2167094,,,,,,,,,,,,,-0.036605657,0.003073377,0.027027027,,0.509519868,-0.039779591,-0.26984127,-0.892039428,-0.231583599,0.06875,0.765272558,-0.002532322,-0.017927841,-0.003486882,-0.004113311
1990,3,90Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,-0.039125,,,,,,,,-0.006109596,,3.761731699,6.877547463,-3.986772137,5.56901,25.28736,,,,63.41887575,,,,,,,,,,,,,-0.065630397,-0.035235542,0.25877193,,-0.068275295,-0.057519395,-0.586956522,-10.2702137,-0.527670917,0.076023392,-0.0174103,0.010422467,-0.023655587,-0.005940466,-0.004111612
1990,4,90Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.182389937,,,,,,0.134772993,,,,,,,,-3.458721217,,2.282749962,-0.757755993,-2.114597946,5.18165,-3.75825,,,,24.751992,,,,,,,,,,,,,-0.139556377,-0.045256054,-0.116724739,,0.065332549,0.112840189,0.526315789,-1.462485873,0.478396503,0.076086957,-0.565933527,-0.035283944,-0.039498286,-0.009506072,-0.0094676
1991,1,91Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,-0.332607283,,,,,,,,-1.923663822,,2.793027242,3.531085653,-2.651523239,1.10707,-10.9321,,,-0.189781022,-36.20982073,,,,,,,,,,,,,-0.075725027,0.014137214,-0.130177515,,-0.444198895,0.074892353,2.551724138,1.482260007,0.450801452,0.035353535,-0.207765718,-0.023334234,0.006407657,0.002761442,-0.009472837
1991,2,91Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.289894074,,,,,,,,2.727213317,,1.193457358,4.83076936,-1.571824549,6.26275,20.79394,,,0.531531532,-9.384804738,,,,,,,,,,,,,-0.034282394,-0.023370234,-0.011337868,,0.053180915,0.018204933,-0.067961165,-0.724298677,-0.291966778,0.004878049,0.287292353,-0.037148164,-0.041102515,0.002833634,-0.033730216
1991,3,91Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,-0.024192116,,,,,,,,1.695609504,,-0.110461592,-0.882580293,-1.427958599,0.7458,11.36921,,,-0.011764706,5.342169605,,,,,,,,,,,,,-0.157039711,-0.07472712,0.309633028,,0.034450212,0.004036338,0.447916667,2.105186004,0.497270671,0.033980582,0.089577652,-0.054884467,-0.060766515,-0.003785201,-0.033739781
1991,4,91Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32822695,,,,,,-0.036209798,,,,,,,,1.577281167,,3.858613718,2.839069146,0.956806211,7.4228,-6.87866,,,-0.196428571,3.781849445,,,,,,,,,,,,,-0.143468951,-0.005898367,-0.238178634,,-0.097171533,0.064209691,0.115107914,1.355986714,0.612710236,0.037558685,-0.185105111,-0.006207718,0.022639821,0.000174724,-0.022872302
1992,1,92Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,-0.175626563,,,,,,,,4.463405237,,6.176320153,0.124460529,1.087834324,-0.03501,0.0442,,,0.140740741,-12.99025892,,,,,,,,,,,,,-0.0575,0.010041077,0.045977011,,0.018191006,-0.004639697,-0.116129032,-0.499707117,-0.372975403,0.031674208,0.136723598,-0.020700187,-0.024938747,0.001387289,-0.022873076
1992,2,92Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.22741326,,,,,,,,4.318433322,,-3.018518698,1.4079899,0.301667661,6.72259,-2.17222,,,0.62987013,11.49351183,,,,,,,,,,,,,-0.164456233,-0.103027564,0.167032967,,-0.21191067,0.017210794,-0.328467153,-0.336973052,-0.205867994,0.004385965,-0.007720879,-0.080855796,-0.068922193,-0.002398167,-0.026916558
